資料集名稱,資料集識別碼,資料集描述,主要欄位說明,提供機關
文資局紀念建築,114129,國家文化資產網之紀念建築資訊。,caseId;caseName;assetsTypes;pastHistory;pastHistorySource;judgeCriteria;registerReason;lawsReference;officialDocNo;registerDate;govInstitutionName;belongAddress;belongCity;longitude;latitude;govInstitution;govDeptName;govDeptAddress;representImage;cityLand;caseOwnership;caseUrl;buildingFeatures;inHouseFeatures;buildingUsage;buildingKeyMaintainItem;buildingActualState;isOpenVisit;isCharge;openUpTime;wenSitename;wenSiteaddress;<br>govDeptContactor;govDeptPhone;govDeptEmail,文化部文化資產局
文資局史蹟,114131,國家文化資產網之史蹟資訊。,caseId;caseName;assetsTypes;judgeCriteria;registerReason;lawsReference;officialDocNo;registerDate;govInstitutionName;belongAddress;belongCity;longitude;latitude;representImage;representImageSource;content;landscapeRelated ;briefDescribe;landUsage ;cityLand;notes ;specialValue;actualState;feature,文化部文化資產局
文資局古物,114132,國家文化資產網之古物資訊。,caseId;caseName;assetsClassifyCode;assetsClassifyName;assetsTypes;reservationCode;judgeCriteria;registerReason;lawsReference;officialDocNo;registerDate;govInstitutionName;belongCity;representImage;representImageSource;notes;keepDepts;keepPlaces;amount;pastHistorySource;pastHistorySourceNotes;reserveStatus;reserveStatusDesc;descCreator;descAge;descSize;descMaterial;environment;manageMaintain,文化部文化資產局
文資局傳統工藝,114140,國家文化資產網之傳統工藝資訊。,caseId;caseName;assetsClassifyCode;assetsClassifyName;assetsTypes ;computeType;judgeCriteria;registerReason;lawsReference;officialDocNo;registerDate;govInstitutionName;belongCity;representImage;representImageSource;recorder;historyDevelopment,文化部文化資產局
文資局民俗,114143,國家文化資產網之民俗資訊。,caseId;caseName;assetsClassifyCode;assetsClassifyName;assetsTypes;computeType;judgeCriteria;registerReason;lawsReference;officialDocNo;registerDate;govInstitutionName;belongCity;representImage;representImageSource;historyDevelopment;holdCalendarType;holdStartMonth;holdStartDay;holdPeriod;hostUnitName;hostContactorName;hostContactorPhone;hostContactorAddress;ceremonyFeature,文化部文化資產局
臺南美學館影音目錄,114592,臺南生活美學館導入文化部影音平台之開放資料。,category_i18n;meta_column_i18n;data,國立臺南生活美學館
國父紀念館影音平台,115858,國父紀念館導入文化部影音平台之開放資料。請於領域別詮釋資料參考網址下載介接說明文件。,category_i18n;meta_column_i18n;data,國立國父紀念館
臺文館台灣民間文學歌仔冊資料庫-欣賞目錄,122553,國立臺灣文學館之臺灣民間文學歌仔册資料庫資料之欣賞目錄,類型;冊名;出版社;資料來源網址,國立臺灣文學館
東美館決算報表,126579,國立臺東生活美學館會計決算相關報表,Id;UnitId;ImageName;BaseCategoryName;PublishTime;Subject;Content;FileName;Url;PageUrl;Mutilimage;Mutilattach,國立臺東生活美學館
東美館會計統計報表,126580,國立臺東生活美學館會計統計相關報表,Id;UnitId;ImageName;BaseCategoryName;PublishTime;Subject;Content;FileName;Url;PageUrl;Mutilimage;Mutilattach,國立臺東生活美學館
東美館支付及接受之補助,126581,國立臺東生活美學館支付及接受之補助,Id;UnitId;ImageName;BaseCategoryName;PublishTime;Subject;Content;FileName;Url;PageUrl;Mutilimage;Mutilattach,國立臺東生活美學館
東美館業務統計,126582,業務成果統計,Id;UnitId;ImageName;BaseCategoryName;PublishTime;Subject;Content;FileName;Url;PageUrl;Mutilimage;Mutilattach,國立臺東生活美學館
東美館政策宣導廣告相關執行情形,126766,東美館政策宣導廣告相關執行情形,Id;UnitId;ImageName;BaseCategoryName;PublishTime;Subject;Content;FileName;Url;Mutilimage;Mutilattach,國立臺東生活美學館
文化部-振興三倍券通訊交易適用業者名單,127637,提供資料包含：識別標章編號、提供機關名稱、特店對外名稱、特店網址、啟用日期、終止日期等欄位資料。,識別標章編號;提供單位名稱;特店對外名稱;特店網址;啟用日期;終止日期,文化部
史博館預算報表,127860,史博館預算報表,Id;UnitId;TypeId;ImageName;BaseCategoryName;PublishTime;Subject;Content;FileName;Url;PageUrl;Mutilimage;Mutilattach,國立歷史博物館
史博館會計報告,127861,史博館會計報告,Id;UnitId;TypeId;ImageName;BaseCategoryName;PublishTime;Subject;Content;FileName;Url;PageUrl;Mutilimage;Mutilattach,國立歷史博物館
史博館決算報表,127874,國立歷史博物館決算報表,Id;UnitId;TypeId;ImageName;BaseCategoryName;PublishTime;Subject;Content;FileName;Url;PageUrl;Mutilimage;Mutilattach,國立歷史博物館
