生活氣象-海水浴場、休閒漁港、海釣之波流模式預報資料,['126373']
用郵手冊,['11029']
申請高鐵電纜槽及預埋管道租用之相關規定,['96911']
異常波浪潛勢風險預報,['130213']
監理所、駕訓班、代檢廠,['14203']
監理所站等候人數,['86565']
監理機關轄區,['86521']
監理自助無人櫃台,['86571']
省道一般公路不適宜騎乘自行車路段,['9369']
省道交控路側設備資料,['29817']
省道交通量調查資料,['46754']
省道公路路線圖資,['105020']
省道常見樹種,['108268']
省道急彎圖資,['111989']
省道易淹水泥流水瀑路段,['96510']
省道管制路段,['107483']
省道緊急停駐空間,['99940']
省道速限圖資,['105021']
省道里程坐標,['7040']
省道陡坡圖資,['111982']
穆斯林友善環境建設成果,['38865']
穆斯林友善餐廳,['41629']
站間各車種平均旅行時間(TDCS_M04A),['37752']
站間各車種平均行駛車速(TDCS_M05A),['37757']
符合適性打造遊覽車,['86153']
第3人申請機場捷運路權用地作其他公共利益使用案,['96973']
第3人申請高速鐵路交通建設用地作其他公共利益使用案,['96947']
簡易人壽保險法,['10476']
紀念戳圖,['22967']
紅外線彩色衛星雲圖,"['9209', '9210', '9211']"
紅外線色調強化衛星雲圖,"['9212', '9213', '9214']"
紅外線黑白衛星雲圖,"['9311', '9312', '9313']"
