資料集名稱,資料集識別碼,資料集描述,主要欄位說明,提供機關
南部科學園區管理局單位預算,12134,南部科學園區管理局單位預算,,科技部南部科學園區管理局
中部科學園區管理局及所屬單位預算預算表(預算案),12136,歲入來源別預算表、歲出機關別預算表、歲入項目說明提要表、歲出計畫提要及分支計畫概況表、各項費用彙計表、歲出一級用途別科目分析表、資本支出分析表、人事費分析表、預算員額明細表、公務車輛明細表、現有辦公房舍明細表、補助經費分析表、捐助經費分析表、派員出國計畫預算總表、派員出國計畫預算類別表－開會、派員赴大陸計畫預算類別表、歲出按職能及經濟性綜合分類表、跨年期計畫概況表、委辦經費分析表,,科技部中部科學園區管理局
中部科學園區管理局及所屬單位預算預算表(法定),12230,歲入來源別預算表、歲出機關別預算表、歲入項目說明提要表、歲出計畫提要及分支計畫概況表、各項費用彙計表、歲出一級用途別科目分析表、資本支出分析表、人事費分析表、預算員額明細表、公務車輛明細表、現有辦公房舍明細表、補助經費分析表、捐助經費分析表、派員出國計畫預算總表、派員出國計畫預算類別表－開會、派員赴大陸計畫預算類別表、歲出按職能及經濟性綜合分類表、跨年期計畫概況表、委辦經費分析表,,科技部中部科學園區管理局
科技部新竹科學園區管理局單位預算(預算案),12419,科技部新竹科學園區管理局單位預算表,,科技部新竹科學園區管理局
科學園區管理局作業基金附屬單位預算(預算案),12452,科學園區管理局作業基金附屬單位預算(預算案),,科技部新竹科學園區管理局
科技部單位預算及科發基金附屬單位預算表(預算案),12623,科技部單位預算：歲入來源別預算表、歲出機關別預算表、歲入項目說明提要表、歲出計畫提要及分支計畫概況表、各項費用彙計表、歲出一級用途別科目分析表、資本支出分析表、人事費分析表、預算員額明細表、公務車輛明細表、現有辦公房舍明細表、捐助經費分析表、派員出國計畫預算總表、派員出國計畫預算類別表－開會、歲出按職能及經濟性綜合分類表、跨年期計畫概況表、委辦經費分析表。科發基金附屬單位預算：基金來源、用途及餘絀預計表、現金流量預計表,,科技部
科技部單位預算及科發基金附屬單位預算表(法定預算),12624,科技部單位預算：歲入來源別預算表、歲出機關別預算表、歲入項目說明提要表、歲出計畫提要及分支計畫概況表、各項費用彙計表、歲出一級用途別科目分析表、資本支出分析表、人事費分析表、預算員額明細表、公務車輛明細表、現有辦公房舍明細表、捐助經費分析表、派員出國計畫預算總表、派員出國計畫預算類別表－開會、歲出按職能及經濟性綜合分類表、跨年期計畫概況表、委辦經費分析表。科發基金附屬單位預算：基金來源、用途及餘絀預計表、現金流量預計表,,科技部
南部科學園區管理局單位預算(預算案),13215,歲入來源別預算表、歲出機關別預算表、歲入項目說明提要表、歲出計畫提要及分支計畫概況表、各項費用彙計表、歲出一級用途別科目分析表、資本支出分析表、人事費分析表、預算員額明細表、公務車輛明細表、現有辦公房舍明細表、補助經費分析表、捐助經費分析表、派員出國計畫預算總表、派員出國計畫預算類別表－開會、派員赴大陸計畫預算類別表、歲出按職能及經濟性綜合分類表、跨年期計畫概況表、委辦經費分析表,,科技部南部科學園區管理局
中部科學園區管理局及所屬單位預算會計報告,18617,歲入累計表、經費累計表、以前年度歲入轉入數累計表、以前年度歲出轉入數累計表、平衡表,,科技部中部科學園區管理局
政府研究資訊系統(GRB)資料目錄集,18707,"(1) 政府研究資訊系統(Government Research Bulletin, 簡稱 GRB)收錄82年迄今行政院所屬各機關研究計畫資料，並就可公開之研究計畫資料提供查詢、瀏覽及全文下載。 (2) 所收錄之研究報告，智慧財產均屬研究計畫所屬機關或計畫主持人，如欲進一步瞭解報告內容或提供改進意見，請直接連絡計畫主辦機關或計畫主持人。 主要欄位說明︰系統編號、計畫編號、計畫中文名稱、計畫英文名稱、執行單位名稱、年度、計畫主管機關、研究方式、研究性質、研究領域、本期研究期間、本期經費(千元)、計畫主持人、研究人員、中文關鍵詞、英文關鍵詞、中文摘要URL、英文摘要URL",,科技部
科學園區管理局作業基金會計月報,18738,收支餘絀表、平衡表、購建固定資產計畫執行情形明細表,,科技部新竹科學園區管理局
南部科學園區管理局單位預算會計報告,18740,歲入（經費）累計表、以前年度歲入（出）轉入數累計表、歲出用途別累計表、繳付公庫數分析表、公庫撥入數分析表、包括平衡表、收入支出表、長期投資、固定資產、遞耗資產及無形資產變動表、預算執行與會計收支對照表,,科技部南部科學園區管理局
新竹科學園區管理局員工職務資訊,18743,提供管理局在職員工職務資料,組室;職稱;姓名;業務職掌;電話,科技部新竹科學園區管理局
科學園區管理局作業基金附屬單位決算（審定）,18744,納有收支餘絀決算表、平衡表、固定資產建設改良擴充計畫預算與實際進度比較表,SEQNO;LEVEL;BOLD;科目;本年度預算數-金額;本年度預算數-百分比;本年度決算數-金額;本年度決算數-百分比;比較增減-金額;比較增減-百分比;上年度決算數-金額;上年度決算數-百分比;項目;預算數;決算數;計畫名稱;全部計畫;全部計畫-目標能量;全部計畫-進度起訖年月;可用預算數-以前年度保留數;可用預算數-本年度預算數;可用預算數-本年度奉准先行辦理數;可用預算數-調整數;可用預算數-合計;可用預算數-占全部計畫百分比;截至本年度累計數;截至本年度累計數-占全部計畫百分比;決算數-本年度金額;決算數-本年度金額占可用預算數百分比;決算數-截至本年度累計數金額;截至本年度累計決算數占累計預算數百分比;未達成或超過預算之原因,科技部新竹科學園區管理局
科學園區管理局作業基金附屬單位預算（法定）,18746,納有收支預計表、餘絀撥補預計表、現金流量預計表,,科技部新竹科學園區管理局
新竹科學園區管理局單位決算(審定),18747,納有歲入來源別決算表、歲出政事別決算表、歲出機關別決算表、以前年度歲入來源別轉入數決算表、以前年度歲出政事別轉入數決算表、以前年度歲出機關別轉入數決算表、平衡表、資本資產表、現金出納表等,會計年度;款;項;目;節;預算科目編號;預算科目名稱;細目編號;細目名稱;預算數_原預算數;預算數_預算增減數;預算數_合計1;決算數_實現數;決算數_應收數;決算數_保留數;決算數_合計2;預決算比較增減數;決算數占預算數之比率;分計畫編號;分計畫名稱;用途別編號;用途別名稱;原預算數;預算追加減數;動支第一預備金數;動支第二預備金數;經費流用數;預算調整數;預算增減數小計;預算數合計1;實現數;應付數;保留數;決算數合計2;預算年度;以前年度轉入數_應收數;以前年度轉入數_保留數;本年度減免註銷數_應收數;本年度減免註銷數_保留數;本年度實現數_應收數;本年度實現數_保留數;本年度調整數_應收數;本年度調整數_保留數;本年度未結清數_應收數;本年度未結清數_保留數;以前年度轉入數_應付數;本年度減免註銷數_應付數;本年度實現數_應付數;本年度調整數_應付數;本年度未結清數_應付數;月份;基金別;會計分類;使用機關別;科目分類;會計科目編號;會計科目名稱;本年度金額;上年度金額,科技部新竹科學園區管理局
新竹科學園區管理局及所屬單位會計月報,18816,歲入累計表、經費累計表、以前年度歲入轉入數累計表、以前年度歲出轉入數累計表、平衡表,,科技部新竹科學園區管理局
南部科學園區管理局單位決算,18836,南部科學園區管理局單位決算,,科技部南部科學園區管理局
科技部單位預算會計報告,19875,經費類平衡表、經費類現金出納表、經費累計表、以前年度歲出保留數餘額表、歲入類平衡表、歲入類現金出納表、歲入累計表等,,科技部
科技部單位決算,19878,歲入來源別決算表、歲出政事別決算表、歲出機關別決算表、以前年度歲出政事別轉入數決算表、以前年度歲出機關別轉入數決算表、歲入類平衡表、經費類平衡表等,,科技部
