行動支付推動措施與重點推動工作,['95302']
行動支付發展概況,['103289']
行政機關民意調查研習會,['43367']
行政院2級機關組織法,['31675']
行政院公共治理協調會報會議及成果資料,['70716']
行政院公報,['5959']
行政院公營事業民營化推動及監督會設置要點,['27763']
行政院列管案件進度季(年)報,['22920']
行政院創新創業政策會報,['113771']
行政院各部會組織架構圖,['31707']
行政院國家發展基金創業天使計畫,['28289']
行政院國家發展基金創業投資評估審議會投票規則,['127173']
行政院國家發展基金加強投資中小企業實施方案及執行情形,['28265']
行政院國家發展基金加強投資文化創意產業實施方案及執行情形,['28266']
行政院國家發展基金加強投資策略性服務業實施方案及執行情形,['28267']
行政院國家發展基金加強投資策略性製造業實施方案及辦理情形,['28268']
行政院國家發展基金協助社會發展投資作業要點,['31642']
行政院國家發展基金投資併購投資基金作業要點,['31633']
行政院國家發展基金投資創業投資事業之審查及管理要點及辦理情形,['28284']
行政院國家發展基金投資臺灣生技產業起飛行動方案-生技創業投資事業之審查及管理要點,['28285']
行政院國家發展基金投資評估審議會投票規則,['127172']
行政院國家發展基金推動「台灣矽谷科技基金投資計畫 」作業要點,['28288']
行政院國家發展基金推動創業拔萃方案投資計畫之審查及管理要點,['28287']
行政院國家發展基金收支保管及運用辦法,['28263']
行政院國家發展基金會計月報,['19886']
行政院國家發展基金決算,['21247']
行政院國家發展基金社企創投基金介紹,['31646']
行政院國家發展基金管理會年報,['31632']
行政院國家發展基金預算,['10514']
行政院所屬各機關(含年度及中程)施政計畫編審作業注意事項,['56511']
行政院所屬各機關個案計畫分布區域情形,['43379']
行政院所屬各機關個案計畫可支用預算數,['43382']
行政院所屬各機關前10大年度預算數個案計畫,['43383']
行政院所屬各機關施政計畫,['22119']
行政院所屬各機關補助地方前5大年度預算數個案計畫,['43384']
行政院所屬各機關近個案計畫預算執行情形,['43381']
行政院所屬各機關重要社會發展計畫先期作業編審原則,['46089']
行政院改善所得分配專案小組會議紀錄,['22091']
行政院管制計畫實地查證報告,['22921']
行政院管制計畫查證建議事項,['113782']
